2020-01-18 19:09:09,363 p=6079 u=root |  TASK [Evaluate oo_masters_to_config] **************************************************************************************************
2020-01-18 19:09:09,364 p=6079 u=root |  Saturday 18 January 2020  19:09:09 +0100 (0:00:00.032)       0:00:03.944 ****** 
2020-01-18 19:09:09,408 p=6079 u=root |  ok: [localhost] => (item=m1-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,413 p=6079 u=root |  ok: [localhost] => (item=m2-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,421 p=6079 u=root |  ok: [localhost] => (item=m3-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,434 p=6079 u=root |  TASK [Evaluate oo_etcd_to_config] *****************************************************************************************************
2020-01-18 19:09:09,435 p=6079 u=root |  Saturday 18 January 2020  19:09:09 +0100 (0:00:00.070)       0:00:04.015 ****** 
2020-01-18 19:09:09,474 p=6079 u=root |  ok: [localhost] => (item=m1-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,480 p=6079 u=root |  ok: [localhost] => (item=m2-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,487 p=6079 u=root |  ok: [localhost] => (item=m3-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,502 p=6079 u=root |  TASK [Evaluate oo_first_etcd] *********************************************************************************************************
2020-01-18 19:09:09,502 p=6079 u=root |  Saturday 18 January 2020  19:09:09 +0100 (0:00:00.067)       0:00:04.082 ****** 
2020-01-18 19:09:09,536 p=6079 u=root |  ok: [localhost]
2020-01-18 19:09:09,547 p=6079 u=root |  TASK [Evaluate oo_etcd_hosts_to_upgrade] **********************************************************************************************
2020-01-18 19:09:09,547 p=6079 u=root |  Saturday 18 January 2020  19:09:09 +0100 (0:00:00.045)       0:00:04.127 ****** 
2020-01-18 19:09:09,582 p=6079 u=root |  ok: [localhost] => (item=m1-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,585 p=6079 u=root |  ok: [localhost] => (item=m2-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,591 p=6079 u=root |  ok: [localhost] => (item=m3-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,605 p=6079 u=root |  TASK [Evaluate oo_etcd_hosts_to_backup] ***********************************************************************************************
2020-01-18 19:09:09,606 p=6079 u=root |  Saturday 18 January 2020  19:09:09 +0100 (0:00:00.058)       0:00:04.186 ****** 
2020-01-18 19:09:09,671 p=6079 u=root |  ok: [localhost] => (item=m1-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,679 p=6079 u=root |  ok: [localhost] => (item=m2-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,691 p=6079 u=root |  ok: [localhost] => (item=m3-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,706 p=6079 u=root |  TASK [Evaluate oo_nodes_to_config] ****************************************************************************************************
2020-01-18 19:09:09,706 p=6079 u=root |  Saturday 18 January 2020  19:09:09 +0100 (0:00:00.100)       0:00:04.286 ****** 
2020-01-18 19:09:09,776 p=6079 u=root |  ok: [localhost] => (item=m1-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,783 p=6079 u=root |  ok: [localhost] => (item=m2-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,791 p=6079 u=root |  ok: [localhost] => (item=m3-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,799 p=6079 u=root |  ok: [localhost] => (item=n1-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,806 p=6079 u=root |  ok: [localhost] => (item=n2-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,814 p=6079 u=root |  ok: [localhost] => (item=n3-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,821 p=6079 u=root |  ok: [localhost] => (item=i1-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,830 p=6079 u=root |  ok: [localhost] => (item=i2-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,837 p=6079 u=root |  ok: [localhost] => (item=i3-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,855 p=6079 u=root |  TASK [Evaluate oo_lb_to_config] *******************************************************************************************************
2020-01-18 19:09:09,856 p=6079 u=root |  Saturday 18 January 2020  19:09:09 +0100 (0:00:00.149)       0:00:04.436 ****** 
2020-01-18 19:09:09,928 p=6079 u=root |  ok: [localhost] => (item=lb-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:09,941 p=6079 u=root |  TASK [Evaluate oo_nfs_to_config] ******************************************************************************************************
2020-01-18 19:09:09,941 p=6079 u=root |  Saturday 18 January 2020  19:09:09 +0100 (0:00:00.085)       0:00:04.521 ****** 
2020-01-18 19:09:09,988 p=6079 u=root |  TASK [Evaluate oo_glusterfs_to_config] ************************************************************************************************
2020-01-18 19:09:09,989 p=6079 u=root |  Saturday 18 January 2020  19:09:09 +0100 (0:00:00.047)       0:00:04.569 ****** 
