2020-01-18 15:02:18,828 p=14206 u=root |  Saturday 18 January 2020  15:02:18 +0100 (0:00:00.026)       0:00:03.630 ****** 
2020-01-18 15:02:18,862 p=14206 u=root |  ok: [localhost] => (item=m1-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:18,865 p=14206 u=root |  ok: [localhost] => (item=m2-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:18,870 p=14206 u=root |  ok: [localhost] => (item=m3-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:18,876 p=14206 u=root |  TASK [Evaluate oo_etcd_to_config] **********************************************
2020-01-18 15:02:18,876 p=14206 u=root |  Saturday 18 January 2020  15:02:18 +0100 (0:00:00.048)       0:00:03.678 ****** 
2020-01-18 15:02:18,946 p=14206 u=root |  ok: [localhost] => (item=m1-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:18,960 p=14206 u=root |  ok: [localhost] => (item=m2-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:18,973 p=14206 u=root |  ok: [localhost] => (item=m3-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:18,980 p=14206 u=root |  TASK [Evaluate oo_first_etcd] **************************************************
2020-01-18 15:02:18,980 p=14206 u=root |  Saturday 18 January 2020  15:02:18 +0100 (0:00:00.103)       0:00:03.782 ****** 
2020-01-18 15:02:19,041 p=14206 u=root |  ok: [localhost]
2020-01-18 15:02:19,051 p=14206 u=root |  TASK [Evaluate oo_etcd_hosts_to_upgrade] ***************************************
2020-01-18 15:02:19,052 p=14206 u=root |  Saturday 18 January 2020  15:02:19 +0100 (0:00:00.071)       0:00:03.854 ****** 
2020-01-18 15:02:19,116 p=14206 u=root |  ok: [localhost] => (item=m1-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,125 p=14206 u=root |  ok: [localhost] => (item=m2-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,136 p=14206 u=root |  ok: [localhost] => (item=m3-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,151 p=14206 u=root |  TASK [Evaluate oo_etcd_hosts_to_backup] ****************************************
2020-01-18 15:02:19,151 p=14206 u=root |  Saturday 18 January 2020  15:02:19 +0100 (0:00:00.099)       0:00:03.953 ****** 
2020-01-18 15:02:19,217 p=14206 u=root |  ok: [localhost] => (item=m1-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,226 p=14206 u=root |  ok: [localhost] => (item=m2-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,238 p=14206 u=root |  ok: [localhost] => (item=m3-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,252 p=14206 u=root |  TASK [Evaluate oo_nodes_to_config] *********************************************
2020-01-18 15:02:19,253 p=14206 u=root |  Saturday 18 January 2020  15:02:19 +0100 (0:00:00.101)       0:00:04.055 ****** 
2020-01-18 15:02:19,329 p=14206 u=root |  ok: [localhost] => (item=m1-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,342 p=14206 u=root |  ok: [localhost] => (item=m2-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,357 p=14206 u=root |  ok: [localhost] => (item=m3-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,370 p=14206 u=root |  ok: [localhost] => (item=n1-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,383 p=14206 u=root |  ok: [localhost] => (item=n2-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,400 p=14206 u=root |  ok: [localhost] => (item=n3-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,413 p=14206 u=root |  ok: [localhost] => (item=i1-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,428 p=14206 u=root |  ok: [localhost] => (item=i2-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,442 p=14206 u=root |  ok: [localhost] => (item=i3-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,461 p=14206 u=root |  TASK [Evaluate oo_lb_to_config] ************************************************
2020-01-18 15:02:19,461 p=14206 u=root |  Saturday 18 January 2020  15:02:19 +0100 (0:00:00.208)       0:00:04.263 ****** 
2020-01-18 15:02:19,541 p=14206 u=root |  ok: [localhost] => (item=lb-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,554 p=14206 u=root |  TASK [Evaluate oo_nfs_to_config] ***********************************************
2020-01-18 15:02:19,555 p=14206 u=root |  Saturday 18 January 2020  15:02:19 +0100 (0:00:00.093)       0:00:04.357 ****** 
2020-01-18 15:02:19,602 p=14206 u=root |  TASK [Evaluate oo_glusterfs_to_config] *****************************************
2020-01-18 15:02:19,602 p=14206 u=root |  Saturday 18 January 2020  15:02:19 +0100 (0:00:00.047)       0:00:04.404 ****** 
2020-01-18 15:02:19,653 p=14206 u=root |  TASK [Evaluate oo_etcd_to_migrate] *********************************************
2020-01-18 15:02:19,653 p=14206 u=root |  Saturday 18 January 2020  15:02:19 +0100 (0:00:00.051)       0:00:04.455 ****** 
2020-01-18 15:02:19,713 p=14206 u=root |  ok: [localhost] => (item=m1-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,719 p=14206 u=root |  ok: [localhost] => (item=m2-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,726 p=14206 u=root |  ok: [localhost] => (item=m3-ocp5.iicparis.fr.ibm.com)
2020-01-18 15:02:19,745 p=14206 u=root |   [WARNING]: Could not match supplied host pattern, ignoring: oo_nfs_to_config

2020-01-18 15:02:19,755 p=14206 u=root |  PLAY [Ensure that all non-node hosts are accessible] ***************************
2020-01-18 15:02:19,772 p=14206 u=root |  TASK [Gathering Facts] *********************************************************
2020-01-18 15:02:19,772 p=14206 u=root |  Saturday 18 January 2020  15:02:19 +0100 (0:00:00.119)       0:00:04.575 ****** 
2020-01-18 15:02:21,099 p=14206 u=root |  ok: [lb-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:21,170 p=14206 u=root |  PLAY [Initialize basic host facts] *********************************************
2020-01-18 15:02:21,251 p=14206 u=root |  TASK [openshift_sanitize_inventory : include_tasks] ****************************
2020-01-18 15:02:21,251 p=14206 u=root |  Saturday 18 January 2020  15:02:21 +0100 (0:00:01.478)       0:00:06.053 ****** 
2020-01-18 15:02:22,351 p=14206 u=root |  included: /usr/share/ansible/openshift-ansible/roles/openshift_sanitize_inventory/tasks/deprecations.yml for m1-ocp5.iicparis.fr.ibm.com, m2-ocp5.iicparis.fr.ibm.com, m3-ocp5.iicparis.fr.ibm.com, n1-ocp5.iicparis.fr.ibm.com, n2-ocp5.iicparis.fr.ibm.com, n3-ocp5.iicparis.fr.ibm.com, i1-ocp5.iicparis.fr.ibm.com, i2-ocp5.iicparis.fr.ibm.com, i3-ocp5.iicparis.fr.ibm.com, lb-ocp5.iicparis.fr.ibm.com
2020-01-18 15:02:22,457 p=14206 u=root |  TASK [openshift_sanitize_inventory : Check for usage of deprecated variables] ***
2020-01-18 15:02:22,457 p=14206 u=root |  Saturday 18 January 2020  15:02:22 +0100 (0:00:01.206)       0:00:07.259 ****** 
2020-01-18 15:02:22,727 p=14206 u=root |  ok: [m1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:22,775 p=14206 u=root |  ok: [m2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:22,811 p=14206 u=root |  ok: [m3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:22,885 p=14206 u=root |  ok: [n1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:22,924 p=14206 u=root |  ok: [n3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:22,926 p=14206 u=root |  ok: [n2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:22,926 p=14206 u=root |  ok: [i1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:22,928 p=14206 u=root |  ok: [i2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:22,987 p=14206 u=root |  ok: [i3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,000 p=14206 u=root |  ok: [lb-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,032 p=14206 u=root |  TASK [openshift_sanitize_inventory : debug] ************************************
2020-01-18 15:02:23,032 p=14206 u=root |  Saturday 18 January 2020  15:02:23 +0100 (0:00:00.574)       0:00:07.834 ****** 
2020-01-18 15:02:23,070 p=14206 u=root |  skipping: [m1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,105 p=14206 u=root |  skipping: [m2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,139 p=14206 u=root |  skipping: [m3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,171 p=14206 u=root |  skipping: [n1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,207 p=14206 u=root |  skipping: [n2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,241 p=14206 u=root |  skipping: [n3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,276 p=14206 u=root |  skipping: [i1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,311 p=14206 u=root |  skipping: [i2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,340 p=14206 u=root |  skipping: [i3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,355 p=14206 u=root |  skipping: [lb-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,384 p=14206 u=root |  TASK [openshift_sanitize_inventory : set_stats] ********************************
2020-01-18 15:02:23,384 p=14206 u=root |  Saturday 18 January 2020  15:02:23 +0100 (0:00:00.352)       0:00:08.187 ****** 
2020-01-18 15:02:23,423 p=14206 u=root |  skipping: [m1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,459 p=14206 u=root |  skipping: [m2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,494 p=14206 u=root |  skipping: [m3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,527 p=14206 u=root |  skipping: [n1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,562 p=14206 u=root |  skipping: [n2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,597 p=14206 u=root |  skipping: [n3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,633 p=14206 u=root |  skipping: [i1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,668 p=14206 u=root |  skipping: [i2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,697 p=14206 u=root |  skipping: [i3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,710 p=14206 u=root |  skipping: [lb-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,751 p=14206 u=root |  TASK [openshift_sanitize_inventory : set_fact] *********************************
2020-01-18 15:02:23,751 p=14206 u=root |  Saturday 18 January 2020  15:02:23 +0100 (0:00:00.366)       0:00:08.553 ****** 
2020-01-18 15:02:23,826 p=14206 u=root |  ok: [m1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,905 p=14206 u=root |  ok: [m3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,944 p=14206 u=root |  ok: [m2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:23,981 p=14206 u=root |  ok: [n2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,019 p=14206 u=root |  ok: [n1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,057 p=14206 u=root |  ok: [i1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,089 p=14206 u=root |  ok: [n3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,102 p=14206 u=root |  ok: [i3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,107 p=14206 u=root |  ok: [i2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,144 p=14206 u=root |  ok: [lb-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,185 p=14206 u=root |  TASK [openshift_sanitize_inventory : Standardize on latest variable names] *****
2020-01-18 15:02:24,185 p=14206 u=root |  Saturday 18 January 2020  15:02:24 +0100 (0:00:00.434)       0:00:08.987 ****** 
2020-01-18 15:02:24,233 p=14206 u=root |  ok: [m1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,272 p=14206 u=root |  ok: [m2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,346 p=14206 u=root |  ok: [m3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,392 p=14206 u=root |  ok: [n1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,439 p=14206 u=root |  ok: [n2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,485 p=14206 u=root |  ok: [n3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,528 p=14206 u=root |  ok: [i1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,566 p=14206 u=root |  ok: [i2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,567 p=14206 u=root |  ok: [i3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,595 p=14206 u=root |  ok: [lb-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,632 p=14206 u=root |  TASK [openshift_sanitize_inventory : Normalize openshift_release] **************
2020-01-18 15:02:24,632 p=14206 u=root |  Saturday 18 January 2020  15:02:24 +0100 (0:00:00.447)       0:00:09.434 ****** 
2020-01-18 15:02:24,679 p=14206 u=root |  ok: [m1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,724 p=14206 u=root |  ok: [m2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,770 p=14206 u=root |  ok: [m3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,808 p=14206 u=root |  ok: [n1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,844 p=14206 u=root |  ok: [n2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,880 p=14206 u=root |  ok: [n3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,916 p=14206 u=root |  ok: [i1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:24,999 p=14206 u=root |  ok: [i2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,123 p=14206 u=root |  ok: [i3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,159 p=14206 u=root |  ok: [lb-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,239 p=14206 u=root |  TASK [openshift_sanitize_inventory : Abort when openshift_release is invalid] ***
2020-01-18 15:02:25,240 p=14206 u=root |  Saturday 18 January 2020  15:02:25 +0100 (0:00:00.607)       0:00:10.042 ****** 
2020-01-18 15:02:25,321 p=14206 u=root |  skipping: [m1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,368 p=14206 u=root |  skipping: [m2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,413 p=14206 u=root |  skipping: [m3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,456 p=14206 u=root |  skipping: [n1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,546 p=14206 u=root |  skipping: [n2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,636 p=14206 u=root |  skipping: [n3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,719 p=14206 u=root |  skipping: [i1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,765 p=14206 u=root |  skipping: [i2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,801 p=14206 u=root |  skipping: [i3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,819 p=14206 u=root |  skipping: [lb-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:25,857 p=14206 u=root |  TASK [openshift_sanitize_inventory : include_tasks] ****************************
2020-01-18 15:02:25,857 p=14206 u=root |  Saturday 18 January 2020  15:02:25 +0100 (0:00:00.617)       0:00:10.659 ****** 
2020-01-18 15:02:26,504 p=14206 u=root |  included: /usr/share/ansible/openshift-ansible/roles/openshift_sanitize_inventory/tasks/unsupported.yml for m1-ocp5.iicparis.fr.ibm.com, m2-ocp5.iicparis.fr.ibm.com, m3-ocp5.iicparis.fr.ibm.com, n1-ocp5.iicparis.fr.ibm.com, n2-ocp5.iicparis.fr.ibm.com, n3-ocp5.iicparis.fr.ibm.com, i1-ocp5.iicparis.fr.ibm.com, i2-ocp5.iicparis.fr.ibm.com, i3-ocp5.iicparis.fr.ibm.com, lb-ocp5.iicparis.fr.ibm.com
2020-01-18 15:02:26,565 p=14206 u=root |  TASK [openshift_sanitize_inventory : set_fact] *********************************
2020-01-18 15:02:26,565 p=14206 u=root |  Saturday 18 January 2020  15:02:26 +0100 (0:00:00.707)       0:00:11.367 ****** 
2020-01-18 15:02:26,965 p=14206 u=root |  TASK [openshift_sanitize_inventory : Ensure that dynamic provisioning is set if using dynamic storage] ***
2020-01-18 15:02:26,966 p=14206 u=root |  Saturday 18 January 2020  15:02:26 +0100 (0:00:00.400)       0:00:11.768 ****** 
2020-01-18 15:02:27,004 p=14206 u=root |  skipping: [m1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,041 p=14206 u=root |  skipping: [m2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,076 p=14206 u=root |  skipping: [m3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,112 p=14206 u=root |  skipping: [n1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,147 p=14206 u=root |  skipping: [n2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,181 p=14206 u=root |  skipping: [n3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,216 p=14206 u=root |  skipping: [i1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,253 p=14206 u=root |  skipping: [i2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,282 p=14206 u=root |  skipping: [i3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,302 p=14206 u=root |  skipping: [lb-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,332 p=14206 u=root |  TASK [openshift_sanitize_inventory : Ensure the hosted registry's GlusterFS storage is configured correctly] ***
2020-01-18 15:02:27,332 p=14206 u=root |  Saturday 18 January 2020  15:02:27 +0100 (0:00:00.366)       0:00:12.134 ****** 
2020-01-18 15:02:27,369 p=14206 u=root |  skipping: [m1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,404 p=14206 u=root |  skipping: [m2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,439 p=14206 u=root |  skipping: [m3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,473 p=14206 u=root |  skipping: [n1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,511 p=14206 u=root |  skipping: [n2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,545 p=14206 u=root |  skipping: [n3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,579 p=14206 u=root |  skipping: [i1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,614 p=14206 u=root |  skipping: [i2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,644 p=14206 u=root |  skipping: [i3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,655 p=14206 u=root |  skipping: [lb-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,686 p=14206 u=root |  TASK [openshift_sanitize_inventory : Ensure the hosted registry's GlusterFS storage is configured correctly] ***
2020-01-18 15:02:27,686 p=14206 u=root |  Saturday 18 January 2020  15:02:27 +0100 (0:00:00.353)       0:00:12.488 ****** 
2020-01-18 15:02:27,725 p=14206 u=root |  skipping: [m1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,763 p=14206 u=root |  skipping: [m2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,799 p=14206 u=root |  skipping: [m3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,833 p=14206 u=root |  skipping: [n1-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,867 p=14206 u=root |  skipping: [n2-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,903 p=14206 u=root |  skipping: [n3-ocp5.iicparis.fr.ibm.com]
2020-01-18 15:02:27,940 p=14206 u=root |  skipping: [i1-ocp5.iicparis.fr.ibm.com]
